capex_cost_usd,opex_cost_usd,total_cost_ownership,mean_connected,per_user_tco,total_ssa_tco_usd,per_user_annualized_usd,per_monthly_tco_usd,monthly_income_usd,cost_per_1GB_usd,cost_per_month_usd,adoption_rate_perc,arpu_usd,percent_gni,algorithm,strategy,decile,technology
2077328.2974490924,481373.72218140267,7769791.7573672775,519958.09644696617,23.533240755305602,2058442763.9930403,0.7844413585101867,0.06537011320918222,333.6919831413924,3.321603375527426,56.18394514767933,63.49789029535865,7.37831223628692,0.019589956160703897,pcsf,access,Decile 1,fiber
787970.2625762713,733066.8564787988,9456819.644865772,1102144.8938164238,13.512855024931925,1181963799.0440006,0.45042850083106417,0.03753570840258868,333.6919831413924,3.321603375527426,56.18394514767933,63.49789029535865,7.37831223628692,0.01124860958577,prims,access,Decile 1,fiber
7470522.119875642,13123898.442302482,162666597.2108443,5381366.7048040535,47.604334512394225,4163931305.9613295,1.5868111504131408,0.1322342625344284,333.6919831413924,3.321603375527426,56.18394514767933,63.49789029535865,7.37831223628692,0.03962764142235863,pcsf,regional,Decile 1,fiber
610473.750381477,1007839.6532771112,12528636.573516604,6764055.809326172,2.9170060718387236,255149305.7642927,0.09723353572795745,0.008102794643996455,333.6919831413924,3.321603375527426,56.18394514767933,63.49789029535865,7.37831223628692,0.0024282257451067163,prims,regional,Decile 1,fiber
1720765.9411523095,1457413.9283778023,18955349.282492366,280042.3548656844,112.04375726702371,7582034868.793458,3.73479190890079,0.31123265907506587,315.1807388073351,3.0768337730870714,72.07927680490765,60.41160949868074,7.036490765171504,0.098747360087038,pcsf,access,Decile 2,fiber
975301.2597371577,1978603.5640744646,24373189.368621793,454595.561987559,88.74967364891137,6005717200.257905,2.9583224549637124,0.24652687124697603,315.1807388073351,3.0768337730870714,72.07927680490765,60.41160949868074,7.036490765171504,0.07821761957277279,prims,access,Decile 2,fiber
10729297.490854125,23821500.399269443,292429386.9115363,1784854.7575651803,271.205021275668,18352525638.74154,9.0401673758556,0.7533472813212999,315.1807388073351,3.0768337730870714,72.07927680490765,60.41160949868074,7.036490765171504,0.239020723211709,pcsf,regional,Decile 2,fiber
779121.3955981242,1674613.6219673723,20582190.016236663,2350888.51953125,14.492360937239878,980702438.3823742,0.48307869790799596,0.040256558158999665,315.1807388073351,3.0768337730870714,72.07927680490765,60.41160949868074,7.036490765171504,0.012772531186814639,prims,regional,Decile 2,fiber
3547541.610869793,2604984.9682757943,34352675.04928785,176173.29996626216,314.3186198597401,16940680680.378508,10.477287328658004,0.8731072773881671,284.0897097848021,3.1707387862796836,80.13508395282322,62.03693931398417,6.618865435356201,0.3073350590732574,pcsf,access,Decile 3,fiber
1494219.8769105882,3173376.3613467594,39020840.35730134,194968.40672731717,322.61311045616776,17387724882.415234,10.753770348538925,0.8961475290449105,284.0897097848021,3.1707387862796836,80.13508395282322,62.03693931398417,6.618865435356201,0.3154452618941186,prims,access,Decile 3,fiber
12564597.312421406,28395244.103445623,348351288.7043725,1418410.2603406906,395.8814882625493,21336635681.72173,13.196049608751643,1.0996708007293037,284.0897097848021,3.1707387862796836,80.13508395282322,62.03693931398417,6.618865435356201,0.3870857559614898,pcsf,regional,Decile 3,fiber
1121866.05315918,1974481.8015282135,24471012.443076134,2363230.2666266025,16.69150645027441,899614158.9536017,0.5563835483424804,0.0463652956952067,284.0897097848021,3.1707387862796836,80.13508395282322,62.03693931398417,6.618865435356201,0.01632065298328771,prims,regional,Decile 3,fiber
3307422.2334474884,3859248.524151303,48944793.353169166,253543.72783045337,301.64159885465835,26905447445.54372,10.054719961821945,0.8378933301518288,285.6614853404922,3.215906735751295,62.38721620321243,63.99740932642487,6.656787564766839,0.2933168708946212,pcsf,access,Decile 4,fiber
1908983.904642243,4940938.945730291,60337836.81086136,342247.7307705029,275.47790093156163,24571730868.90488,9.18259669771872,0.7652163914765601,285.6614853404922,3.215906735751295,62.38721620321243,63.99740932642487,6.656787564766839,0.26787524071173463,prims,access,Decile 4,fiber
15221549.061148355,39144075.94880419,478118071.5407436,2618351.9051996376,285.3282352723807,25450348585.87183,9.510941175746023,0.7925784313121685,285.6614853404922,3.215906735751295,62.38721620321243,63.99740932642487,6.656787564766839,0.277453724770583,pcsf,regional,Decile 4,fiber
1106450.1410105925,2143652.298868364,26456114.694322634,2394367.2036132812,17.265251768609648,1540004183.3030941,0.5755083922869882,0.047959032690582354,285.6614853404922,3.215906735751295,62.38721620321243,63.99740932642487,6.656787564766839,0.01678876402726042,prims,regional,Decile 4,fiber
6328001.936196247,4413725.747502198,58522318.705087416,230593.01923528663,380.9276156784085,33959091214.93314,12.697587189280283,1.058132265773357,283.363315716746,3.3878042328042324,51.853102452962965,66.62433862433862,6.79031746031746,0.37341893148620586,pcsf,access,Decile 5,fiber
3112991.540572401,6242666.766439763,76935368.67276739,289191.5334094569,399.307579923723,35597635800.94915,13.3102526641241,1.1091877220103417,283.363315716746,3.3878042328042324,51.853102452962965,66.62433862433862,6.79031746031746,0.39143659764311256,prims,access,Decile 5,fiber
14507979.841555564,27520615.931333896,339951794.83344275,1314503.9284249165,388.1705109626348,34604783812.40788,12.939017032087827,1.0782514193406523,283.363315716746,3.3878042328042324,51.853102452962965,66.62433862433862,6.79031746031746,0.38051905787920964,pcsf,regional,Decile 5,fiber
1186358.8183118496,1559547.8365554085,19628722.13086639,1581692.643379407,18.626747249193606,1660544898.3958354,0.6208915749731202,0.05174096458109335,283.363315716746,3.3878042328042324,51.853102452962965,66.62433862433862,6.79031746031746,0.01825958467849605,prims,regional,Decile 5,fiber
4456220.463870321,6301042.739633351,78968920.06077273,206334.36327946297,573.5949442362515,52805389830.46811,19.11983147454172,1.5933192895451433,303.60523939628723,4.298482384823848,55.40855752650407,66.72357723577235,7.567073170731708,0.5247996683830048,pcsf,access,Decile 6,fiber
3305782.291847753,8370331.125015699,102288759.3032351,262023.95020581965,585.0696894004464,53861759656.75274,19.502322980014878,1.6251935816679064,303.60523939628723,4.298482384823848,55.40855752650407,66.72357723577235,7.567073170731708,0.5352982658993535,prims,access,Decile 6,fiber
16534999.173047533,40029481.49835163,489901845.44839895,1544966.103197564,475.23760448138285,43750572104.76579,15.841253482712762,1.3201044568927303,303.60523939628723,4.298482384823848,55.40855752650407,66.72357723577235,7.567073170731708,0.4348095110340424,pcsf,regional,Decile 6,fiber
1193799.1704473407,2295078.455174005,28334146.974476762,1681913.028466797,25.248017679239673,2324343039.274893,0.8416005893079891,0.07013338244233243,303.60523939628723,4.298482384823848,55.40855752650407,66.72357723577235,7.567073170731708,0.02310018844924785,prims,regional,Decile 6,fiber
7806789.184143251,5673734.216442819,74901279.84729825,173826.54733016016,676.5196291504528,51405415631.69346,22.550654305015094,1.8792211920845912,280.621232878137,5.046164383561644,59.59741469517809,63.69315068493151,7.745342465753425,0.6696646482558448,pcsf,access,Decile 7,fiber
4763792.822987025,7617589.393819736,94845256.09953484,226293.26102316432,658.0384339407123,50001120057.41693,21.93461446469041,1.8278845387242006,280.621232878137,5.046164383561644,59.59741469517809,63.69315068493151,7.745342465753425,0.6513707177382335,prims,access,Decile 7,fiber
22378979.382509798,35156633.26409244,438122176.4201194,1043011.1619184812,659.4980986485346,50112032834.74868,21.98326995495115,1.8319391629125958,280.621232878137,5.046164383561644,59.59741469517809,63.69315068493151,7.745342465753425,0.6528155920789275,pcsf,regional,Decile 7,fiber
1958407.5190328402,1893113.1471141593,24345332.51901658,1173261.2131426411,32.578288479523856,2475464698.5811167,1.085942949317462,0.09049524577645517,280.621232878137,5.046164383561644,59.59741469517809,63.69315068493151,7.745342465753425,0.032248181952701266,prims,regional,Decile 7,fiber
4916245.724284401,4892618.285219134,62773684.81698585,122598.48755420286,870.7123707250036,51637281438.80418,29.02374569083345,2.4186454742361208,274.0710045650685,5.303890410958904,63.60307222953424,58.8054794520548,8.031671232876713,0.8824886375975239,pcsf,access,Decile 8,fiber
3301876.597905574,5964854.59696404,73838998.3233561,146835.47366802,855.1395891883931,50713743276.22885,28.504652972946435,2.375387747745536,274.0710045650685,5.303890410958904,63.60307222953424,58.8054794520548,8.031671232876713,0.8667052363000275,prims,access,Decile 8,fiber
11054902.483965985,18399755.099783167,228640384.92849457,697452.896112309,557.468413998815,33060462162.644657,18.582280466627164,1.5485233722189304,274.0710045650685,5.303890410958904,63.60307222953424,58.8054794520548,8.031671232876713,0.5650080987867828,pcsf,regional,Decile 8,fiber
1464744.9419351271,1830620.793969108,23112669.409878086,763988.9795283565,51.44524244743452,3050941450.083852,1.714841414914484,0.14290345124287365,274.0710045650685,5.303890410958904,63.60307222953424,58.8054794520548,8.031671232876713,0.05214103238306855,prims,regional,Decile 8,fiber
4215849.60676588,4957844.357951551,62844616.710437,76422.87144048163,1473.5131302823504,61079480841.50658,49.117104342745016,4.093092028562085,282.8286778324581,5.283100558659218,61.234163281005586,55.8072625698324,8.783938547486034,1.4471983746240713,pcsf,access,Decile 9,fiber
2659239.4842332783,5737443.303497638,70507119.11195588,80977.44163907322,1560.1925434268337,64672481436.95904,52.00641811422779,4.333868176185649,282.8286778324581,5.283100558659218,61.234163281005586,55.8072625698324,8.783938547486034,1.5323298222088155,prims,access,Decile 9,fiber
6642401.591067065,13094527.096133342,161491147.13924563,389873.02463564667,742.2236901218199,30766361513.33183,24.74078967072733,2.0617324725606108,282.8286778324581,5.283100558659218,61.234163281005586,55.8072625698324,8.783938547486034,0.7289686775617354,pcsf,regional,Decile 9,fiber
724182.9124013082,1060077.3589747811,13260080.39202415,452816.53072916664,52.47267006904895,2175076272.018721,1.7490890023016317,0.1457574168584693,282.8286778324581,5.283100558659218,61.234163281005586,55.8072625698324,8.783938547486034,0.05153558612780172,prims,regional,Decile 9,fiber
4567813.470292939,2055890.9380949931,28879659.970032778,24988.64748580035,1871.556140272164,28413574946.969337,62.3852046757388,5.198767056311566,439.53490988235137,6.039864864864865,60.52365970497297,61.75135135135135,11.482297297297295,1.1827882016705114,pcsf,access,Decile 10,fiber
2060191.7943620647,2612373.957209833,32952703.39152577,29587.53307368709,1803.581728011697,27381601598.33225,60.11939093372323,5.009949244476936,439.53490988235137,6.039864864864865,60.52365970497297,61.75135135135135,11.482297297297295,1.139829654444952,prims,access,Decile 10,fiber
7792736.430771097,8763187.237856299,111421415.86483422,169899.49337938096,1062.0137092743394,16123270616.28361,35.40045697581131,2.9500380813176093,439.53490988235137,6.039864864864865,60.52365970497297,61.75135135135135,11.482297297297295,0.671172645218837,pcsf,regional,Decile 10,fiber
1734143.4360294682,1095727.4631084423,14691619.630426172,272496.9529854911,87.30951170812533,1325514795.4799573,2.9103170569375107,0.24252642141145922,439.53490988235137,6.039864864864865,60.52365970497297,61.75135135135135,11.482297297297295,0.05517796560832343,prims,regional,Decile 10,fiber
2002906.969776769,494384.0328975271,7849223.278201318,519958.09644696617,23.77382392171738,2079486473.3226702,0.7924607973905793,0.06603839978254827,333.6919831413924,3.321603375527426,56.18394514767933,63.49789029535865,7.37831223628692,0.019790226651794147,pcsf,access,Decile 1,fiber
754794.7968441502,777747.2066283094,9952009.664997445,1102144.8938164238,14.220432329260161,1243855291.049061,0.4740144109753387,0.03950120091461156,333.6919831413924,3.321603375527426,56.18394514767933,63.49789029535865,7.37831223628692,0.011837623590098075,prims,access,Decile 1,fiber
7073477.9535949845,14141612.412661724,174304484.16349798,5381366.7048040535,51.01015889804518,4461837345.9738455,1.7003386299348393,0.14169488582790327,333.6919831413924,3.321603375527426,56.18394514767933,63.49789029535865,7.37831223628692,0.04246277794689006,pcsf,regional,Decile 1,fiber
580344.5981695617,1076818.2033624856,13314210.185676105,6764055.809326172,3.0999088947515885,271147739.4799723,0.10333029649171961,0.008610858040976634,333.6919831413924,3.321603375527426,56.18394514767933,63.49789029535865,7.37831223628692,0.002580480945305788,prims,regional,Decile 1,fiber
2390511.22667927,1248392.4895216583,17153320.874939058,280042.3548656844,101.39209211038798,6861233472.997231,3.3797364036795994,0.2816447003066333,315.1807388073351,3.0768337730870714,72.07927680490765,60.41160949868074,7.036490765171504,0.08935974367354922,pcsf,access,Decile 2,fiber
792092.3730349455,1708678.821238514,20997997.486756362,454595.561987559,76.45964572159994,5174047301.316146,2.5486548573866648,0.21238790478222205,315.1807388073351,3.0768337730870714,72.07927680490765,60.41160949868074,7.036490765171504,0.06738606730408464,prims,access,Decile 2,fiber
6754700.256316344,20480852.786487166,248950110.48086295,1784854.7575651803,230.881447048162,15623817201.20939,7.696048234938733,0.641337352911561,315.1807388073351,3.0768337730870714,72.07927680490765,60.41160949868074,7.036490765171504,0.20348240674173942,pcsf,regional,Decile 2,fiber
601571.8596198348,1448188.4615249373,17727059.854577787,2350888.51953125,12.482002622943927,844660884.5327078,0.41606675409813093,0.034672229508177575,315.1807388073351,3.0768337730870714,72.07927680490765,60.41160949868074,7.036490765171504,0.011000745045328468,prims,regional,Decile 2,fiber
4171197.619556254,2512329.3854509224,33880636.600042835,176173.29996626216,309.9995828801003,16707899605.075129,10.333319429336678,0.8611099524447231,284.0897097848021,3.1707387862796836,80.13508395282322,62.03693931398417,6.618865435356201,0.30311198286520613,pcsf,access,Decile 3,fiber
1761906.691999056,3039546.387423817,37705926.79082793,194968.40672731717,311.74178242282306,16801798102.554972,10.391392747427435,0.8659493956189529,284.0897097848021,3.1707387862796836,80.13508395282322,62.03693931398417,6.618865435356201,0.30481547405392095,prims,access,Decile 3,fiber
14823002.62795974,27120458.496925566,335534773.7449514,1418410.2603406906,381.3162457013807,20551619753.072254,12.710541523379357,1.0592117936149463,284.0897097848021,3.1707387862796836,80.13508395282322,62.03693931398417,6.618865435356201,0.3728441253353735,pcsf,regional,Decile 3,fiber
1321708.2874671477,1895919.0641784796,23741814.534420133,2363230.2666266025,16.19412565639957,872807063.6267426,0.5398041885466524,0.044983682378887696,284.0897097848021,3.1707387862796836,80.13508395282322,62.03693931398417,6.618865435356201,0.015834323042873615,prims,regional,Decile 3,fiber
3956083.2971810424,4442338.240362047,56488755.822933584,253543.72783045337,348.1342438365159,31052439839.541805,11.60447479455053,0.9670395662125442,285.6614853404922,3.215906735751295,62.38721620321243,63.99740932642487,6.656787564766839,0.3385264082975302,pcsf,access,Decile 4,fiber
2304752.675204264,5667126.276880818,69321101.44409135,342247.7307705029,316.49181550778763,28230038368.12475,10.549727183592921,0.8791439319660768,285.6614853404922,3.215906735751295,62.38721620321243,63.99740932642487,6.656787564766839,0.3077572501305828,prims,access,Decile 4,fiber
18385026.947510663,45042165.601797454,551029145.2884631,2618351.9051996376,328.83963808803105,29331423895.7214,10.961321269601035,0.9134434391334195,285.6614853404922,3.215906735751295,62.38721620321243,63.99740932642487,6.656787564766839,0.3197642965570409,pcsf,regional,Decile 4,fiber
1329416.7985836985,2450077.8072791686,30302702.520726427,2394367.2036132812,19.7755337219602,1763913151.5151124,0.6591844573986734,0.054932038116556114,285.6614853404922,3.215906735751295,62.38721620321243,63.99740932642487,6.656787564766839,0.01922976702689908,prims,regional,Decile 4,fiber
6711335.2463239,4479866.502704752,59687796.5628978,230593.01923528663,388.5138274233491,34635389928.964226,12.950460914111636,1.0792050761759697,283.363315716746,3.3878042328042324,51.853102452962965,66.62433862433862,6.79031746031746,0.3808556070309251,pcsf,access,Decile 5,fiber
3632191.1585132517,6370532.296301263,78966636.40531415,289191.5334094569,409.8502031209976,36537493894.889946,13.661673437366586,1.1384727864472155,283.363315716746,3.3878042328042324,51.853102452962965,66.62433862433862,6.79031746031746,0.401771409106904,prims,access,Decile 5,fiber
16847862.278042186,28054472.169322085,348604770.3773506,1314503.9284249165,398.0508233753742,35485597953.064766,13.26836077917914,1.1056967315982618,283.363315716746,3.3878042328042324,51.853102452962965,66.62433862433862,6.79031746031746,0.39020461374877896,pcsf,regional,Decile 5,fiber
1307698.8027273873,1594339.678244782,20161491.485839427,1581692.643379407,19.13232066609951,1705615964.587706,0.6377440222033169,0.05314533518360975,283.363315716746,3.3878042328042324,51.853102452962965,66.62433862433862,6.79031746031746,0.01875519244584736,prims,regional,Decile 5,fiber
4972714.822303862,5847463.088771896,74121628.50876917,206334.36327946297,538.3863846494088,49564075148.33115,17.94621282164696,1.4955177351372466,303.60523939628723,4.298482384823848,55.40855752650407,66.72357723577235,7.567073170731708,0.49258627358047335,pcsf,access,Decile 6,fiber
4038326.8278650483,7776786.346323219,96002366.55862762,262023.95020581965,549.1128758112488,50551560399.039246,18.303762527041627,1.5253135439201355,303.60523939628723,4.298482384823848,55.40855752650407,66.72357723577235,7.567073170731708,0.5024002704805721,prims,access,Decile 6,fiber
20082742.552112,37143950.282224804,459326868.26054084,1544966.103197564,445.5778286490808,41020080769.640076,14.852594288302694,1.2377161906918912,303.60523939628723,4.298482384823848,55.40855752650407,66.72357723577235,7.567073170731708,0.40767286926703383,pcsf,regional,Decile 6,fiber
1379334.7731291135,2139271.9936751164,26677200.22294448,1681913.028466797,23.771544047831952,2188418260.884972,0.7923848015943984,0.0660320667995332,303.60523939628723,4.298482384823848,55.40855752650407,66.72357723577235,7.567073170731708,0.02174931728149244,prims,regional,Decile 6,fiber
7652045.449190337,5735138.00370526,75472663.85714215,173826.54733016016,681.6804554972143,51797561567.933945,22.722681849907143,1.8935568208255953,280.621232878137,5.046164383561644,59.59741469517809,63.69315068493151,7.745342465753425,0.6747731814177775,pcsf,access,Decile 7,fiber
4888918.356998476,7673555.263964056,95632203.53224772,226293.26102316432,663.4982922141993,50415987966.262665,22.11660974047331,1.8430508117061093,280.621232878137,5.046164383561644,59.59741469517809,63.69315068493151,7.745342465753425,0.6567752528214696,prims,access,Decile 7,fiber
22964638.65769337,35394500.91204472,441520728.9461621,1043011.1619184812,664.613883810099,50500756311.76428,22.1537961270033,1.846149677250275,280.621232878137,5.046164383561644,59.59741469517809,63.69315068493151,7.745342465753425,0.657879540445176,pcsf,regional,Decile 7,fiber
1938390.1008086745,1914918.627312656,24583174.833337467,1173261.2131426411,32.89656285604063,2499648810.7706013,1.0965520952013543,0.09137934126677953,280.621232878137,5.046164383561644,59.59741469517809,63.69315068493151,7.745342465753425,0.032563231345527605,prims,regional,Decile 7,fiber
5947393.396041591,5634231.6350607425,72574748.04672189,122598.48755420286,1006.6595757563696,59699581140.80365,33.555319191878986,2.796276599323249,274.0710045650685,5.303890410958904,63.60307222953424,58.8054794520548,8.031671232876713,1.020274510162337,pcsf,access,Decile 8,fiber
3499030.4830708643,6870112.103502889,84741234.43535537,146835.47366802,981.3998841780796,58201564290.532555,32.71332947260265,2.7261107893835543,274.0710045650685,5.303890410958904,63.60307222953424,58.8054794520548,8.031671232876713,0.9946731846769786,prims,access,Decile 8,fiber
11937775.011708176,21250621.78902546,263236054.20814177,697452.896112309,641.8191855853131,38062854087.277054,21.39397285284377,1.7828310710703141,274.0710045650685,5.303890410958904,63.60307222953424,58.8054794520548,8.031671232876713,0.650499703133333,pcsf,regional,Decile 8,fiber
1723625.6883694665,2090358.2461476282,26443063.800634902,763988.9795283565,58.85818743616155,3490563464.8193765,1.961939581205385,0.16349496510044875,274.0710045650685,5.303890410958904,63.60307222953424,58.8054794520548,8.031671232876713,0.05965423644865455,prims,regional,Decile 8,fiber
5103631.324259344,5240246.173240374,67071928.48632526,76422.87144048163,1572.6306002204565,65188058825.45918,52.42102000734855,4.368418333945713,282.8286778324581,5.283100558659218,61.234163281005586,55.8072625698324,8.783938547486034,1.544545753784372,pcsf,access,Decile 9,fiber
